Latitude,Longitude,Description,Label,Rooms,Year,Price,District,Date,USD_Price
55.58330600000001,37.679053,"2020-01-29: 4972000 | 5220600
г.москва,липецкаяул.,д.40,1ком., пл. 37.8, кв. 437","5.220.600, 2020, 1",1,2020,5220600,ЮАО,2020-01-29,83006.45767741017
55.678433,37.73790200000001,"2017-05-17: 1588000 | 1588000
2017-02-17: 1881000 | Не продано
г.москва,люблинскаяул.,д.52,стр.1,2ком., пл. 45.8, кв. 78,1/2доля","1.588.000, 2017, 2",2,2017,1588000,ЮВАО,2017-05-17,28188.565218945798
55.713699,37.621839,"2018-08-22: 9583000 | 9583000
г.москва,люсиновскаяул.,д.72,2ком., пл. 49.9, кв. 40","9.583.000, 2018, 1",2,2018,9583000,ЮАО,2018-08-22,143111.65841233326
55.863874,37.675011,"2019-04-24: 5794000 | 5794000
г.москва,лётчикабабушкинаул.,д.16,кор.1,1ком., пл. 31.6, кв. 25","5.794.000, 2019, 1",1,2019,5794000,СВАО,2019-04-24,90836.83293167733
55.829492,37.667887,"2019-09-25: 4757000 | 6374380
г.москва,малахитоваяул.,д.21,1ком., пл. 32.1, кв. 35","6.374.380, 2019, 1",1,2019,6374380,СВАО,2019-09-25,99983.68737794147
55.741764,37.59088300000001,"2019-12-30: 16297000 | 19719370
г.москва,малыйлевшинскийпер.,д.6-8,2ком., пл. 57.4, кв. 13","19.719.370, 2019, 1",2,2019,19719370,ЦАО,2019-12-30,317154.0532711539
55.70272900000001,37.742178,"2018-06-20: 4685000 | 5387750
2018-01-24: 5165000 | Не продано
2017-10-25: 6708000 | Не продано
2017-08-23: 6708000 | Не продано
г.москва,малышеваул.,д.3,2ком., пл. 41.9, кв. 32","5.387.750, 2018, 4",2,2018,5387750,ЮВАО,2018-06-20,85025.61370372973
55.701942,37.742726,"2017-06-21: 3132000 | 4134240
г.москва,малышеваул.,д.3,кор.2,1ком., пл. 28.3, кв. 42","4.134.240, 2017, 1",1,2017,4134240,ЮВАО,2017-06-21,70766.21214554003
55.624916000000006,37.701736,"2018-12-26: 5777000 | 6181390
г.москва,маршалазахароваул.,д.8,кор.3,1ком., пл. 38.4, кв. 309","6.181.390, 2018, 1",1,2018,6181390,ЮАО,2018-12-26,90092.61822828236
55.795459,37.484622,"2019-03-27: 9038000 | 11116740
г.москва,маршалаконеваул.,д.16,2ком., пл. 47.0, кв. 25","11.116.740, 2019, 1",2,2019,11116740,СЗАО,2019-03-27,173730.55250466865
55.687863,37.862246,"2019-01-23: 7299000 | 7955910
г.москва,маршалаполубояроваул.,д.4,кор.2,2ком., пл. 54.3, кв. 257","7.955.910, 2019, 1",2,2019,7955910,ЮВАО,2019-01-23,119884.90596917702
55.68775600000001,37.86360300000001,"2018-08-22: 5141000 | 5141000
2018-07-04: 5141000 | Не продано
г.москва,маршалаполубояроваул.,д.8,1ком., пл. 38.8, кв. 21","5.141.000, 2018, 2",1,2018,5141000,ЮВАО,2018-08-22,76775.2307104044
55.744515,37.39179,"2018-01-24: 4299000 | 4299000
2017-10-25: 4812000 | Не продано
2017-08-23: 4812000 | Не продано
2017-06-07: 5304000 | Не продано
2017-04-20: 5304000 | Не продано
г.москва,маршалатимошенкоул.,д.7,1ком., пл. 32.4, кв. 36","4.299.000, 2018, 5",1,2018,4299000,ЗАО,2018-01-24,76133.09761574074
55.784197,37.477579,"2017-11-08: 4513000 | 5912030
г.москва,маршалатухачевскогоул.,д.22,кор.1,2ком., пл. 44.0, кв. 69","5.912.030, 2017, 1",2,2017,5912030,СЗАО,2017-11-08,101485.36420224766
55.881848,37.490982,"2018-01-24: 4270000 | 4270000
2017-10-25: 4348000 | Не продано
2017-08-23: 4348000 | Не продано
г.москва,маршалафедоренкоул.,д.10,кор.2,1ком., пл. 37.6, кв. 373","4.270.000, 2018, 3",1,2018,4270000,САО,2018-01-24,75619.52240502744
55.651796,37.763926,"2018-05-23: 4924000 | 4924000
г.москва,марьинскийбульвар,д.10,1ком., пл. 38.4, кв. 38","4.924.000, 2018, 1",1,2018,4924000,ЮВАО,2018-05-23,79953.36678895075
