Latitude,Longitude,Description,Label,Placemark number
55.627397,37.718471,"<div>2020-01-29: 7723000 | Не продано</div><p>г.москва,борисовскийпр-д,д.9,кор.3,2ком., пл. 51.7, кв. 569</p>","Не продано, 2020, 1",2
55.618273,37.726313,"<div>2018-02-21: 1158000 | 1412760</div><p>г.москва,борисовскийпр.,д.36,кор.1,3ком., пл. 58.9, кв. 179,комната№1жилойплощадью10,3</p>","1.412.760, 2018, 1",3
55.749562,37.791648,"<div>2018-09-26: 4838000 | 4886380</div><p>г.москва,братскаяул.,д.19,кор.1,1ком., пл. 33.1, кв. 66</p>","4.886.380, 2018, 1",1
55.763412,37.729655,"<div>2019-11-27: 5398000 | 5505960</div><div>2019-09-25: 5398000 | Не продано</div><p>г.москва,бураковаул.,д.11,1ком., пл. 35.2, кв. 14</p>","5.505.960, 2019, 2",1
55.651201,37.528711,"<div>2019-04-24: 10354000 | 11596480</div><p>г.москва,бутлероваул.,д.14,кор.1,2ком., пл. 54.7, кв. 64</p>","11.596.480, 2019, 1",2
55.784344,37.587614,"<div>2017-08-09: 7774000 | 7774000</div><div>2017-06-07: 9302000 | Не продано</div><div>2017-04-20: 9302000 | Не продано</div><div>2017-03-03: 9302000 | Не продано</div><p>г.москва,бутырскийвалул.,д.34,2ком., пл. 46.7, кв. 24</p>","7.774.000, 2017, 4",2
55.701861,37.580679,"<div>2018-04-04: 6767000 | 6767000</div><p>г.москва,вавиловаул.,д.17,1ком., пл. 33.9, кв. 153</p>","6.767.000, 2018, 1",1
55.692851,37.562766,"<div>2019-06-26: 9773000 | 9773000</div><p>г.москва,вавиловаул.,д.46,2ком., пл. 45.1, кв. 71</p>","9.773.000, 2019, 1",2
55.677072,37.546192,"<div>2018-02-21: 11060000 | 11060000</div><div>2017-11-29: 11060000 | Не продано</div><div>2017-09-13: 13156000 | Не продано</div><div>2017-07-26: 13156000 | Не продано</div><div>2017-05-31: 13156000 | Не продано</div><p>г.москва,вавиловаул.,д.91,кор.1,2ком., пл. 54.2, кв. 56</p>","11.060.000, 2018, 5",2
55.864939,37.468533,"<div>2017-01-21: 4906000 | 4906000</div><p>г.москва,валдайскийпр.,д.4,1ком., пл. 34.4, кв. 65</p>","4.906.000, 2017, 1",1
55.869577,37.46467,"<div>2019-05-29: 5478000 | 5478000</div><div>2019-03-27: 5478000 | Не продано</div><p>г.москва,валдайскийпроезд,д.11,1ком., пл. 30.8, кв. 6</p>","5.478.000, 2019, 2",1
55.6043,37.604259,"<div>2018-03-14: 4901000 | 4901000</div><p>г.москва,варшавскоеш.,д.144,кор.2,1ком., пл. 37.6, кв. 400</p>","4.901.000, 2018, 1",1
55.633384,37.532852,"<div>2018-04-04: 6038000 | 6581420</div><p>г.москва,введенскогоул.,д.31,кор.1,2ком., пл. 46.9, кв. 38</p>","6.581.420, 2018, 1",2
55.711579,37.485286,"<div>2018-11-14: 5102000 | 5306080</div><p>г.москва,веернаяул.,д.40,кор.4,1ком., пл. 32.8, кв. 167</p>","5.306.080, 2018, 1",1
55.709617,37.474695,"<div>2017-05-17: 7449000 | 8193900</div><p>г.москва,веернаяул.,д.7,кор.1,2ком., пл. 55.2, кв. 87</p>","8.193.900, 2017, 1",2
